filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,danceability,energy,valence
The Hero.mp3,0.46772486,0.16077529,2595.793492668724,2245.281793096273,4956.688166897055,0.1546966033659156,117.45383522727272,-58.339752,73.62437,-27.156115,39.96657,0.930013,12.342561,0.22910103,11.517455,0.60786426,7.8003974,-3.4226816,3.3740869,-3.223591,0.33514737215909085,0.8076634794134979,0.5402395734039065
The Hitman.mp3,0.48750338,0.12229006,2789.164109391013,2502.71904773066,5518.176966011314,0.1567151990026023,117.45383522727272,-68.43482,69.36508,-15.845209,37.553555,2.0460885,1.044253,1.0661788,13.248342,0.6396367,7.3055325,-3.8368583,4.5554266,-1.1579584,0.33514737215909085,0.8231331287512811,0.5917562919054338
The House Jack Built_1.mp3,0.4320035,0.24663183,2552.571370744869,2557.510441656715,5389.673797557707,0.1102781271363014,95.703125,-19.352062,74.719894,-10.237644,34.692097,16.904173,13.678695,5.734012,16.565104,4.577498,9.405667,3.2304587,6.1513267,-1.8656694,0.20826822916666668,0.8042057096595895,0.5749459422815762
The Invisible Man (12'' Version) .mp3,0.49703664,0.15880643,2802.941951769192,2831.185408030344,6092.81246075297,0.1080111312839314,117.45383522727272,-134.42494,53.205456,32.751194,47.52874,11.488147,18.828262,6.8584313,11.006784,2.2846565,6.750555,-1.9957535,3.6109734,-2.960583,0.33514737215909085,0.8242353561415354,0.6341923711807123
The Invisible Man.mp3,0.46742553,0.1584954,2803.044798429311,2795.2478520656864,6070.931311668591,0.114157655914077,117.45383522727272,-96.23288,63.66996,19.591158,42.055744,9.574672,15.321922,5.4894633,9.519803,-0.14700922,4.5623665,-3.4267375,0.87146926,-5.2269816,0.33514737215909085,0.8242435838743449,0.629710461351142
The Judas Kiss_1.mp3,0.46399313,0.38549736,3123.7972581351746,2773.3812960446035,6428.400572919811,0.1505254241125332,89.10290948275862,43.446156,54.05396,-0.20574406,39.989483,9.122525,12.8666115,3.0254378,9.972932,1.8049783,6.3839865,-2.228251,5.5901537,-1.8951727,0.1697669719827586,0.849903780650814,0.6590523878190929
The Kiss (Aura Ressurects Flash).mp3,0.23716827,0.084214225,1653.3588964776222,1896.157182814717,3157.6853084246677,0.0837342189234184,129.19921875,-239.17886,115.30296,-7.6920958,6.65255,-16.4989,-5.606778,-6.8710165,-3.2416358,-8.919792,5.6680665,-2.262728,5.0575414,0.8917033,0.4524594526047448,0.6375540617182097,0.40235553749960185
The Loser In The End.mp3,0.43177134,0.12531851,2750.1379792662483,2773.51818820126,6064.3024332286905,0.1218593612311851,143.5546875,-103.87542,74.23117,14.664112,33.557465,3.9309938,11.700743,2.9395392,5.695338,0.6597162,2.994535,-5.0120425,0.36026886,-4.2941394,0.48740234374999997,0.8200110383412998,0.6217035714517822
The Lost Art Of Conversation.mp3,0.2864601,0.03450731,1386.910030535841,1737.0602718819423,2554.314301817278,0.0636708178281461,123.046875,-302.06503,133.17215,-17.302397,22.69574,8.549831,3.8927143,-11.717439,-12.602464,-6.2027206,-6.2773166,-8.102504,3.5809913,-4.210431,0.47676098401556166,0.3179966624428673,0.3558235370388269
The March Of The Black Queen.mp3,0.35448614,0.10843055,2120.424006445264,2297.4942518945,4496.765716223388,0.0923702462478622,135.99917763157896,-140.53094,96.2754,-4.01011,29.413742,1.10062,6.76354,2.287909,1.2252402,-5.4016876,5.7219195,-7.6781635,-0.43869236,-9.727043,0.4662177974406239,0.7696339205156211,0.4992291821313388
The Memory Remains_1.mp3,0.40682474,0.26075342,3060.262038041516,2679.863929865984,6163.480648085486,0.1526951550030135,143.5546875,-7.9744425,51.776947,-12.111459,34.41907,10.403845,14.920985,3.6293402,11.438246,3.5774899,7.225285,1.0838721,1.511063,-2.4240036,0.48740234374999997,0.8448209630433212,0.6410091950373996
The Memory Remains_1_1.mp3,0.44865516,0.23642589,3287.377988797064,2841.996893839564,6780.2149035460925,0.1867295132967247,151.99908088235293,11.845954,51.3059,-16.507168,15.551695,7.1627865,4.5049224,2.8498833,6.8421574,1.680515,9.564212,0.46997136,5.0125313,-1.8564874,0.5366613051470587,0.8629902391037652,0.683987410609652
The Millionaire Waltz.mp3,0.30221632,0.091526315,1942.5250652988484,1999.0842594391663,3885.19503081406,0.0908288822087006,95.703125,-195.14146,106.15847,-17.867174,24.370869,-3.515949,-7.1651754,-7.949128,-4.317691,-10.231586,-0.26056084,-12.249198,-3.760018,-5.7031913,0.23578158254056492,0.7045598952239078,0.44413803895978066
The Miracle.mp3,0.35897928,0.16413338,2650.1858861328,2565.0252853935167,5556.425285163455,0.1255987937216607,92.28515625,-78.253716,75.07501,-1.9385887,28.826593,2.2809896,4.633714,0.29594454,8.525069,-10.359254,8.831993,-5.47855,1.0993503,-3.3835883,0.188330078125,0.812014870890624,0.5856467492874695
The More I See_1.mp3,0.49811783,0.22007512,3066.3195119904,2774.573792833197,6491.030125081007,0.1326551557727473,95.703125,-65.34831,46.234005,2.8631108,36.04624,15.750305,12.995447,9.125752,9.569184,6.6359925,8.48786,6.7171593,8.374743,2.9837496,0.20826822916666668,0.8453055609592319,0.6534536753031897
"The Narrow Way, Part I.mp3",0.36144415,0.06876601,2080.5619727383173,2255.964468764221,4330.105770054327,0.1060817371560017,112.34714673913044,-175.58939,99.56276,-12.255013,25.351664,7.8799415,15.750955,1.1752609,-2.0107737,-12.01773,-1.5662727,-14.286254,-3.1178496,-8.426365,0.3053583559782609,0.5790410178190654,0.49005175586935934
"The Narrow Way, Part II.mp3",0.39116806,0.16172002,1476.553212204287,1379.9058248353058,2778.904994475693,0.0987957037004486,135.99917763157896,-107.00035,161.6747,-58.221306,38.35476,5.19364,-13.065075,-16.983799,-4.044388,-6.1519804,-7.7814803,-0.72494143,-0.7317125,-9.380908,0.4469414250828647,0.718124256976343,0.3201435493248419
